"word","group","F1_previous","dur_previous","F1_last","dur_last","speaker","rel_dur_prcnt","rel_F1_prcnt"
"x?da=da","3","745","0.107393355","690","0.07592245","IrMikh","141.451382298648","107.971014492754"
"toda=da","3","750","0.110010216","690","0.087124712","IrMikh","126.267523271698","108.695652173913"
"toda=da","3","745","0.091223685","640","0.082361827","IrMikh","110.759666611087","116.40625"
"toda=da","3","700","0.105539383","640","0.075547504","IrMikh","139.699364521692","109.375"
"toba=da","2","750","0.140639462","715","0.106665061","IrMikh","131.851480401816","104.895104895105"
"toba=da","2","725","0.167618609","740","0.081164786","IrMikh","206.516418339352","97.972972972973"
"toba=da","2","710","0.152873459","670","0.091580939","IrMikh","166.927158281266","105.970149253731"
"x?da=da","3","730","0.106446546","660","0.072837631","IrMikh","146.142240677762","110.606060606061"
"x?da=da","3","750","0.097112639","640","0.065467752","IrMikh","148.33660242374","117.1875"
"x?da=da","3","725","0.106208821","690","0.070031974","IrMikh","151.65761427773","105.072463768116"
"?osta=da","3","760","0.111631364","740","0.085824353","IrMikh","130.06956661823","102.702702702703"
"?osta=da","3","770","0.093772735","730","0.073453005","IrMikh","127.66357891008","105.479452054795"
"?osta=da","3","720","0.091393022","690","0.0651331","IrMikh","140.317322528791","104.347826086957"
"x?da=da","3","750","0.115344591","710","0.074290324","IrMikh","155.261930207762","105.633802816901"
"x?da=da","3","760","0.107562437","720","0.085099416","IrMikh","126.396210521586","105.555555555556"
"x?da=da","3","780","0.10270744","725","0.076618125","IrMikh","134.051100832864","107.586206896552"
"toda=da","3","800","0.133011056","690","0.0875673","IrMikh","151.895805854469","115.942028985507"
"toda=da","3","640","0.116945753","630","0.076430037","IrMikh","153.010200688507","101.587301587302"
"toda=da","3","765","0.150041582","640","0.09070321","IrMikh","165.420366048787","119.53125"
"toda=da","3","670","0.084711361","630","0.050203089","IrMikh","168.737348014581","106.349206349206"
"toda=da","3","650","0.108974081","610","0.092528131","IrMikh","117.773999995742","106.55737704918"
"toda=da","3","730","0.103127339","650","0.079346439","IrMikh","129.970973240526","112.307692307692"
"?osta=da","3","740","0.095653637","680","0.082692842","IrMikh","115.673418262732","108.823529411765"
"?osta=da","3","730","0.119835962","700","0.089443789","IrMikh","133.979075953502","104.285714285714"
"?osta=da","3","800","0.137687698","690","0.097669916","IrMikh","140.972475086392","115.942028985507"
"x?da=da","4","670","0.101187602","580","0.05822083","IrMikh","173.799655552832","115.51724137931"
"x?da=da","4","700","0.092701132","665","0.060327059","IrMikh","153.664265317492","105.263157894737"
"x?da=da","4","760","0.09582997","685","0.059072087","IrMikh","162.22546868879","110.948905109489"
"x?da=da","4","830","0.187575233","755","0.184139301","IrMikh","101.865941698128","109.933774834437"
"x?da=da","4","805","0.157958935","720","0.121969697","IrMikh","129.506704439874","111.805555555556"
"x?da=da","4","850","0.191537542","765","0.137509628","IrMikh","139.290277186991","111.111111111111"
"jada=da","4","770","0.133593517","750","0.145932269","IrMikh","91.5448775760486","102.666666666667"
"jada=da","4","805","0.136435795","755","0.153027892","IrMikh","89.1574687573949","106.622516556291"
"jada=da","4","795","0.120040635","730","0.102617164","IrMikh","116.97910010454","108.904109589041"
"toda=da","4","760","0.130952521","740","0.079531187","IrMikh","164.655559585701","102.702702702703"
"toda=da","4","795","0.146611579","740","0.098518724","IrMikh","148.815954010935","107.432432432432"
